日期,沪深300,中证500,中证1000,中债-国债指数,中债-信用债指数,南华商品指数
2010/1/4,3535.229,4510.527,4406.765,128.633,110.1255,1430.4799
2010/1/5,3564.038,4557.475,4462.232,128.6461,110.1472,1441.4393
2010/1/6,3541.727,4550.279,4452.868,128.7032,110.18,1454.1171
2010/1/7,3471.456,4459.155,4361.161,128.6368,110.1755,1432.498
2010/1/8,3480.13,4514.452,4417.771,128.5676,110.1546,1420.3436
2010/1/11,3482.052,4542.949,4449.942,128.5874,110.1502,1444.1139
2010/1/12,3534.916,4639.632,4541.602,128.5639,110.1191,1433.9426
2010/1/13,3421.144,4591.024,4485.317,128.3986,110.0911,1394.6335
2010/1/14,3469.051,4714.1,4609.304,128.4262,110.1708,1409.0916
2010/1/15,3482.738,4747.648,4658.087,128.435,110.2294,1398.636
2010/1/18,3500.684,4829.062,4734.051,128.4907,110.2942,1401.3217
2010/1/19,3507.482,4830.016,4740.448,128.5872,110.3021,1411.4203
2010/1/20,3394.434,4651.074,4586.747,128.7067,110.4464,1400.9422
2010/1/21,3408.574,4667.209,4606.434,128.7124,110.5143,1413.742
2010/1/22,3366.197,4537.88,4471.278,128.7902,110.6169,1387.8073
2010/1/25,3328.014,4481.16,4407.043,128.8931,110.6712,1390.5428
2010/1/26,3242.797,4294.383,4226.935,129.0173,110.7343,1375.9686
2010/1/27,3198.566,4267.113,4194.634,129.1158,110.7703,1375.3471
2010/1/28,3206.57,4336.381,4248.036,129.1861,110.8057,1345.2255
2010/1/29,3204.155,4374.649,4290.323,129.3397,110.7989,1329.7502
2010/2/1,3152.707,4331.366,4239.985,129.5646,110.8806,1319.7065
2010/2/2,3146.189,4301.768,4225.466,129.7153,110.9467,1318.8049
2010/2/3,3230.715,4363.079,4304.836,129.9378,110.9872,1347.5382
2010/2/4,3218.802,4408.441,4364.225,129.851,110.9909,1328.0471
2010/2/5,3153.087,4311.293,4281.782,130.0338,111.0254,1306.8405
2010/2/8,3150.988,4310.894,4278.582,130.0739,111.1465,1313.1869
2010/2/9,3169.19,4311.891,4277.332,130.0972,111.2471,1321.9832
2010/2/10,3214.13,4366.25,4330.417,130.1444,111.2717,1340.2985
2010/2/11,3220.398,4356.517,4307.129,130.223,111.2902,1352.8839
2010/2/12,3251.278,4416.219,4366.276,130.2426,111.311,1363.9601
2010/2/22,3233.345,4419.547,4392.687,130.0633,111.3726,1387.0194
2010/2/23,3198.634,4459.155,4464.227,130.0595,111.3623,1393.3823
2010/2/24,3244.483,4556.281,4559.661,130.1667,111.4139,1385.3912
2010/2/25,3292.128,4629.965,4645.06,130.3948,111.4993,1375.6243
2010/2/26,3281.666,4634.671,4653.344,130.9049,111.7982,1378.0268
2010/3/1,3324.423,4686.266,4721.887,131.1311,111.8936,1392.5392
2010/3/2,3311.236,4690.293,4724.64,131.2365,111.9262,1370.5332
2010/3/3,3335.081,4758.434,4788.502,131.4959,112.0418,1378.7155
2010/3/4,3250.573,4586.523,4617.845,131.3342,112.0582,1368.8507
2010/3/5,3259.764,4604.586,4617.363,131.4434,112.1487,1376.1258
2010/3/8,3286.178,4654.583,4676.44,131.5799,112.2557,1391.6396
2010/3/9,3305.863,4660.126,4682.254,131.6048,112.2573,1386.9058
2010/3/10,3279.694,4598.994,4630.01,131.6352,112.3724,1385.0659
2010/3/11,3276.705,4562.872,4605.249,131.4396,112.4492,1366.5465
2010/3/12,3233.126,4492.861,4532.081,131.416,112.4849,1364.5867
2010/3/15,3183.183,4454.76,4498.085,131.3868,112.5486,1346.0751
2010/3/16,3203.971,4491.465,4555.309,131.4073,112.5992,1354.1538
2010/3/17,3273.916,4616.053,4674.636,131.6789,112.6185,1368.7956
2010/3/18,3267.555,4630.953,4686.251,131.7866,112.6514,1362.4957
2010/3/19,3293.871,4663.903,4723.848,131.7917,112.7054,1375.4579
2010/3/22,3302.628,4690.198,4766.944,131.6992,112.7111,1369.3409
2010/3/23,3275.573,4658.626,4739.367,131.6681,112.7424,1361.4371
2010/3/24,3276.669,4683.065,4750.988,131.7258,112.795,1357.1109
2010/3/25,3229.128,4620.749,4678.813,131.6257,112.8157,1363.5468
2010/3/26,3275.002,4686.931,4742.465,131.4971,112.8277,1371.2592
2010/3/29,3358.54,4723.611,4770.536,131.4395,112.8429,1382.3384
2010/3/30,3366.708,4744.423,4800.452,131.2697,112.85,1381.7674
2010/3/31,3345.607,4756.157,4822.084,131.3925,112.8839,1375.5994
2010/4/1,3391.935,4827.214,4904.303,131.4357,112.8744,1379.0953
2010/4/2,3407.346,4843.175,4922.824,131.361,112.9495,1388.6746
2010/4/6,3405.145,4852.904,4942.334,131.4463,112.9868,1395.8909
2010/4/7,3386.949,4863.639,4951.727,131.2543,112.9291,1398.4013
2010/4/8,3346.744,4864.922,4956.366,131.033,112.8821,1385.3141
2010/4/9,3379.17,4939.176,5031.25,131.024,112.9287,1394.284
2010/4/12,3351.478,4976.38,5088.293,131.0697,112.9658,1399.5688
2010/4/13,3391.716,4919.873,4989.386,131.2269,112.9909,1396.6961
2010/4/14,3403.707,4977.508,5074.676,131.208,113.0229,1400.4267
2010/4/15,3394.574,4914.747,5024.773,131.2478,113.0632,1398.887
2010/4/16,3356.332,4898.67,5019.351,131.3099,113.0894,1398.6756
2010/4/19,3176.423,4688.836,4806.11,131.606,113.1752,1369.2679
2010/4/20,3173.374,4749.934,4875.092,131.7591,113.2446,1382.1275
2010/4/21,3236.679,4893.978,5029.03,131.7773,113.3052,1382.6209
2010/4/22,3201.541,4902.405,5060.748,131.8372,113.3388,1378.8834
2010/4/23,3190.003,4864.164,5007.598,131.968,113.4487,1379.9106
2010/4/26,3171.997,4866.553,4999.058,132.1685,113.5097,1383.8974
2010/4/27,3108.409,4739.269,4869.611,132.1965,113.5564,1372.9845
2010/4/28,3097.353,4714.432,4834.789,132.2931,113.589,1355.523
2010/4/29,3060.064,4561.4,4686.941,132.3182,113.612,1355.2193
2010/4/30,3067.365,4438.681,4527.758,132.3737,113.6361,1359.8753
2010/5/4,3019.449,4434.131,4520.36,132.3334,113.6179,1348.5109
2010/5/5,3036.394,4564.807,4662.835,132.301,113.6234,1340.4545
2010/5/6,2896.856,4419.781,4533.896,132.3817,113.6635,1328.5682
2010/5/7,2836.789,4350.758,4453.169,132.7794,113.7769,1305.363
2010/5/10,2858.233,4269.108,4367.269,132.7566,113.8312,1327.5288
2010/5/11,2800.817,4144.352,4239.791,132.8023,113.8383,1313.9817
2010/5/12,2818.16,4042.516,4134.516,132.9485,113.8658,1321.5527
2010/5/13,2886.911,4157.842,4236.403,133.0255,113.9295,1328.4323
2010/5/14,2868.023,4184.841,4257.811,133.036,113.9523,1314.5577
